user_id,total_events,unique_sessions,active_days,recency_days,events_per_session,device_os,location_country,active_next_7_days
08TIJv,1,1,1,8.693564814814815,1.0,iOS,Antarctica (the territory South of 60 deg S),0
08YI4s,1,1,1,13.29351851851852,1.0,Android,Chile,0
099pyl,1,1,1,8.540023148148148,1.0,Android,Liberia,0
0FXXbg,1,1,1,21.492453703703703,1.0,Android,New Caledonia,0
0MDo4B,1,1,1,15.665914351851852,1.0,Android,Uzbekistan,0
0ZrgKj,1,1,1,17.048738425925926,1.0,Android,Tuvalu,0
10002,3,3,3,10.370277777777778,1.0,Android,Denmark,0
10004,2,2,2,7.241145833333333,1.0,Android,Pakistan,0
10005,1,1,1,12.33837962962963,1.0,Android,Croatla,0
10007,1,1,1,14.551597222222222,1.0,iOS,Equatorial Guinea,0
1001,1,1,1,21.785775462962963,1.0,Android,Comoros,0
10012,3,3,3,7.504768518518518,1.0,iOS,Costa Rica,0
10013,1,1,1,7.187581018518519,1.0,Android,India,0
10014,1,1,1,11.668912037037037,1.0,Android,Lesotho,0
10017,1,1,1,13.029479166666667,1.0,iOD,Cambodia,1
10020,3,3,3,12.264351851851853,1.0,iOS,Estonia,1
10021,1,1,1,10.566782407407407,1.0,iOS,Egypt,1
10023,1,1,1,16.992337962962964,1.0,Android,Taiwan,1
10025,1,1,1,4.373333333333333,1.0,Android,Guinea,0
10027,1,1,1,0.23243055555555556,1.0,Android,Philippines,1
1003,3,3,3,4.3906018518518515,1.0,Android,Nigeria,0
10030,1,1,1,17.820555555555554,1.0,iOS,Norway,1
10031,1,1,1,20.98775462962963,1.0,iOS,pmo1oc,0
10033,1,1,1,11.581493055555555,1.0,Android,Syrian Arab Republic,0
10035,2,2,1,3.8310416666666667,1.0,iOS,Kenya,0
10037,1,1,1,10.148159722222223,1.0,Android,Singapore,0
10040,1,1,1,7.7740277777777775,1.0,Android,Croatia,0
10041,2,2,2,7.817534722222222,1.0,Android,France,1
10042,1,1,1,17.115,1.0,Android,Guyana,0
10044,3,3,2,16.344143518518518,1.0,Android,France,0
10045,1,1,1,14.730127314814816,1.0,iOS,Mauritania,0
10046,1,1,1,3.547199074074074,1.0,Android,Turkmenistan,1
10047,2,2,2,4.024641203703704,1.0,Android,Ethiopia,0
10049,1,1,1,19.762743055555557,1.0,iOS,Lao People's Democratic Republic,0
10050,2,2,2,1.6671180555555556,1.0,Android,Central African Republic,0
10054,2,2,2,3.0648263888888887,1.0,iOS,Niger,0
10056,3,3,2,12.078043981481482,1.0,Android,Angola,0
10057,3,3,3,0.8891898148148148,1.0,Android,Afghanistan,0
10058,1,1,1,8.689710648148148,1.0,iOS,Vietnam,1
10059,1,1,1,12.399305555555555,1.0,Android,Albania,0
1006,1,1,1,8.66025462962963,1.0,Android,North Macedonia,0
10060,1,1,1,9.190196759259258,1.0,Android,Spain,1
10061,2,2,2,7.883472222222222,1.0,iOS,Antigua and Barbuda,0
10063,2,2,2,3.5155671296296296,1.0,Android,Antarctica (the territory South of 60 deg S),0
10065,2,2,2,4.007291666666666,1.0,Android,Cameroon,1
10069,1,1,1,8.6946875,1.0,Android,Cayman Islands,0
10072,1,1,1,12.923090277777778,1.0,Android,Central African Republic,0
10074,1,1,1,10.415879629629629,1.0,iOS,Cambodia,0
10075,2,2,2,13.661574074074075,1.0,Android,Chile,1
10076,1,1,1,21.261388888888888,1.0,iOS,France,0
10077,1,1,1,2.980277777777778,1.0,Android,Montenegro,0
10078,3,3,3,0.008136574074074074,1.0,Android,Burkina Faso,1
10083,1,1,1,2.1910185185185185,1.0,Android,Portugal,0
